,Unnamed: 0,ID,player_name,team,overall_innings,overall_runs,balls,overall_average,strike_rate,centuries,thirties,fifties,zeros,overall_notout,home_innings,away_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,calculated_home_points,calculated_away_points,calculated_form_points,calculated_value
224,224,225,CS Martin,New Zealand,1,5,6,0.0,83.33333333,0,0,0,0,1,1,0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,0,1,0.0,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
225,225,226,GJ Hopkins,New Zealand,8,86,72,12.28571429,94.11825307,0,1,0,0,1,2,6,57.0,0.0,28.5,0.0,0.0,0.0,1.0,0.0,0.0,8,86,0,1,0,0,1,12.28571429,0,0,29.0,1.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7526315789473683,0.8399999999999999,4.1395348837209305,0.939534884
226,226,227,MN van Wyk,South Africa,7,225,163,37.5,104.5316964,1,0,1,0,1,7,0,225.0,1.0,37.5,0.0,0.0,0.0,0.0,1.0,1.0,7,225,0,0,1,1,1,37.5,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966666666666667,0.0,3.78,1.0966666666666667
227,227,228,GH Bodi,South Africa,1,8,28,8.0,28.57142857,0,0,0,0,0,1,0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0,0,0,0,0,8.0,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.5,0.7
228,228,229,DW Steyn,South Africa,11,21,27,4.2,78.46320346,0,0,0,2,6,5,6,8.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,10,20,2,0,0,0,5,4.0,0,0,13.0,3.0,4.333333333,0.0,0.0,1.0,0.0,0.0,0.0,1.75,1.3999999998923076,5.0,1.54
229,229,230,BA Parchment,West Indies,1,10,6,10.0,166.6666667,0,0,0,0,0,0,1,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0,0,0,0,0,10.0,0,0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.5,0.7000000000000001
230,230,231,DR Flynn,New Zealand,5,59,51,11.8,100.9398496,0,0,0,0,0,3,2,14.0,0.0,4.666666667,0.0,0.0,0.0,0.0,0.0,0.0,5,59,0,0,0,0,0,11.8,0,0,45.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.70000000005,0.7,2.5,0.7
231,231,232,PA Hitchcock,New Zealand,1,13,11,13.0,118.1818182,0,0,0,0,0,1,0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,0,0,0,0,0,13.0,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.0,0.5,0.7000000000000001
232,232,233,AC Voges,Australia,5,139,116,46.33333333,121.5509031,0,0,1,0,2,3,2,77.0,1.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,5,139,0,0,1,0,2,46.33333333,0,0,62.0,1.0,62.0,0.0,0.0,0.0,0.0,1.0,0.0,1.05,1.496774193548387,2.607913669064748,1.2745803356474819
233,233,234,LA Pomersbach,Australia,1,15,7,15.0,214.2857143,0,0,0,0,0,1,0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,0,0,0,0,0,15.0,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.5,0.7
234,234,235,MJ Guptill,New Zealand,98,2939,2223,33.39772727,116.3916011,2,26,17,3,10,54,44,1836.0,5.0,37.46938776,0.0,0.0,2.0,16.0,13.0,1.0,10,358,1,3,2,0,0,35.8,0,0,1103.0,5.0,28.28205128,0.0,0.0,1.0,10.0,4.0,1.0,2.800840336235294,2.1061533811640976,5.293296089385475,4.180702310555291
